Drug Name,Disease,Source Key
adalimumab,moderate to severe hidradenitis suppurativa in patients 12 years of age,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Reducing signs,adalimumab
adalimumab,symptoms in adult patients,adalimumab
adalimumab,non-infectious intermediate,adalimumab
adalimumab,inducing major clinical response,adalimumab
adalimumab,pediatric patients 2 years of age,adalimumab
adalimumab,pediatric patients 6 years of age,adalimumab
adalimumab,improving physical function in adult patients,adalimumab
adalimumab,moderately to severely active Crohn’s disease,adalimumab
adalimumab,inhibiting the progression of structural damage,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,moderate to severe hidradenitis suppurativa in patients 12 years of age,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Reducing signs,adalimumab
adalimumab,symptoms in adult patients,adalimumab
adalimumab,non-infectious intermediate,adalimumab
adalimumab,inducing major clinical response,adalimumab
adalimumab,pediatric patients 2 years of age,adalimumab
adalimumab,pediatric patients 6 years of age,adalimumab
adalimumab,improving physical function in adult patients,adalimumab
adalimumab,moderately to severely active Crohn’s disease,adalimumab
adalimumab,inhibiting the progression of structural damage,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,moderate to severe hidradenitis suppurativa in patients 12 years of age,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Rheumatoid Arthritis,adalimumab
adalimumab,symptoms in adult patients,adalimumab
adalimumab,non-infectious intermediate,adalimumab
adalimumab,inducing major clinical response,adalimumab
adalimumab,pediatric patients 6 years of age,adalimumab
adalimumab,moderate to severe hidradenitis suppurativa,adalimumab
adalimumab,improving physical function in adult patients,adalimumab
adalimumab,moderately to severely active Crohn's disease,adalimumab
adalimumab,inhibiting the progression of structural damage,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Reducing signs,adalimumab
adalimumab,symptoms in adult patients,adalimumab
adalimumab,non-infectious intermediate,adalimumab
adalimumab,inducing major clinical response,adalimumab
adalimumab,pediatric patients 2 years of age,adalimumab
adalimumab,pediatric patients 5 years of age,adalimumab
adalimumab,pediatric patients 6 years of age,adalimumab
adalimumab,improving physical function in adult patients,adalimumab
adalimumab,moderately to severely active Crohn’s disease,adalimumab
adalimumab,inhibiting the progression of structural damage,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,moderate to severe hidradenitis suppurativa in patients 12 years of age,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Reducing signs,adalimumab
adalimumab,symptoms in adult patients,adalimumab
adalimumab,non-infectious intermediate,adalimumab
adalimumab,inducing major clinical response,adalimumab
adalimumab,pediatric patients 6 years of age,adalimumab
adalimumab,moderate to severe hidradenitis suppurativa,adalimumab
adalimumab,improving physical function in adult patients,adalimumab
adalimumab,moderately to severely active Crohn's disease,adalimumab
adalimumab,inhibiting the progression of structural damage,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Reducing signs,adalimumab
adalimumab,symptoms in adult patients,adalimumab
adalimumab,non-infectious intermediate,adalimumab
adalimumab,inducing major clinical response,adalimumab
adalimumab,pediatric patients 2 years of age,adalimumab
adalimumab,pediatric patients 6 years of age,adalimumab
adalimumab,improving physical function in adult patients,adalimumab
adalimumab,moderately to severely active Crohn's disease,adalimumab
adalimumab,inhibiting the progression of structural damage,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,moderate to severe hidradenitis suppurativa in patients 12 years of age,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Rheumatoid Arthritis,adalimumab
adalimumab,symptoms in adult patients,adalimumab
adalimumab,non-infectious intermediate,adalimumab
adalimumab,inducing major clinical response,adalimumab
adalimumab,pediatric patients 6 years of age,adalimumab
adalimumab,moderate to severe hidradenitis suppurativa,adalimumab
adalimumab,improving physical function in adult patients,adalimumab
adalimumab,moderately to severely active Crohn’s disease,adalimumab
adalimumab,inhibiting the progression of structural damage,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Reducing signs,adalimumab
adalimumab,symptoms in adult patients,adalimumab
adalimumab,non-infectious intermediate,adalimumab
adalimumab,inducing major clinical response,adalimumab
adalimumab,pediatric patients 6 years of age,adalimumab
adalimumab,moderate to severe hidradenitis suppurativa,adalimumab
adalimumab,improving physical function in adult patients,adalimumab
adalimumab,moderately to severely active Crohn's disease,adalimumab
adalimumab,inhibiting the progression of structural damage,adalimumab
adalimumab,moderately to severely active ulcerative colitis,adalimumab
adalimumab,when other systemic therapies are medically less appropriate,adalimumab
adalimumab,symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age,adalimumab
adalimumab,older,adalimumab
adalimumab,symptoms,adalimumab
adalimumab,posterior,adalimumab
adalimumab,panuveitis,adalimumab
adalimumab,phototherapy,adalimumab
adalimumab,adult patients,adalimumab
adalimumab,reducing signs,adalimumab
adalimumab,Reducing signs,adalimumab
adalimumab,symptoms in adult patients,adalimumab
