Ingredient,Matched_GSRS_Name,UNII,Substance_Class,GSRS_Status,Query_Used,Match_Type,All_Classes,Formula,SMILES
COBICISTAT; DARUNAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,COBICISTAT | Darunavir | EMTRICITABINE | TENOFOVIR ALAFENAMIDE FUMARATE,LW2E03M5PG | YO603Y8113 | G70B4ETF4S | FWF6Q91TZO,chemical,approved | approved | approved | approved,COBICISTAT; DARUNAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,"combination(exact_full,exact_full,exact_full,exact_full)",chemical,,
COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,COBICISTAT | ELVITEGRAVIR | EMTRICITABINE | TENOFOVIR ALAFENAMIDE FUMARATE,LW2E03M5PG | 4GDQ854U53 | G70B4ETF4S | FWF6Q91TZO,chemical,approved | approved | approved | approved,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,"combination(exact_full,exact_full,exact_full,exact_full)",chemical,,
COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,COBICISTAT | ELVITEGRAVIR | EMTRICITABINE | TENOFOVIR DISOPROXIL FUMARATE,LW2E03M5PG | 4GDQ854U53 | G70B4ETF4S | OTT9J7900I,chemical,approved | approved | approved | approved,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,"combination(exact_full,exact_full,exact_full,exact_full)",chemical,,
COBIMETINIB FUMARATE,COBIMETINIB FUMARATE,6EXI96H8SV,chemical,approved,COBIMETINIB FUMARATE,exact_full,chemical,2C21H21F3IN3O2.C4H4O4,C1CCN[C@@]([H])(C1)C2(CN(C2)C(=O)c3ccc(c(c3Nc4ccc(cc4F)I)F)F)O.C1CCN[C@@]([H])(C1)C2(CN(C2)C(=O)c3ccc(c(c3Nc4ccc(cc4F)I)F)F)O.C(=C\C(=O)O)/C(=O)O
COCAINE HYDROCHLORIDE,Cocaine hydrochloride,XH8T8T6WZH,chemical,approved,COCAINE HYDROCHLORIDE,exact_full,chemical,C17H21NO4.ClH,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC.Cl
CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE,Codeine phosphate | PHENYLEPHRINE HYDROCHLORIDE | Promethazine hydrochloride,GSL05Y1MN6 | 04JA59TNSJ | R61ZEH7I1I,chemical,approved | approved | approved,CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE,"combination(exact_full,exact_full,exact_full)",chemical,,
CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,Codeine phosphate | Promethazine hydrochloride,GSL05Y1MN6 | R61ZEH7I1I,chemical,approved | approved,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
CODEINE PHOSPHATE; PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE,Codeine phosphate | Pseudoephedrine hydrochloride | TRIPROLIDINE HYDROCHLORIDE,GSL05Y1MN6 | 6V9V2RYJ8N | YAN7R5L890,chemical,approved | approved | approved,CODEINE PHOSPHATE; PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE,"combination(exact_full,exact_full,exact_full)",chemical,,
CODEINE SULFATE,CODEINE SULFATE,11QV9BS0CB,chemical,approved,CODEINE SULFATE,exact_full,chemical,2C18H21NO3.3H2O.H2O4S,O.OS(O)(=O)=O.[C@]123[C@@]4([C@H](N(CC1)C)Cc5ccc(OC)c(c52)O[C@]3([C@@H](O)C=C4)[H])[H].[C@]123[C@@]4([C@H](N(CC1)C)Cc5ccc(OC)c(c52)O[C@]3([C@@H](O)C=C4)[H])[H].O.O
COLCHICINE,Colchicine,SML2Y3J35T,chemical,approved,COLCHICINE,exact_full,chemical,C22H25NO6,CC(=O)N[C@H]1CCc2cc(c(c(c2-c3ccc(c(=O)cc31)OC)OC)OC)OC
