Ingredient,Trade_Name(s),Disease_Category,Duration_Class,DF_Route(s),Earliest_Approval,Latest_Approval,NDA_Count,ANDA_Count,Generic_Competitor_Count,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Has_Blocking_Exclusivity,Exclusivity_Codes,Latest_Exclusivity_Date,Applicant(s)
HYDROCODONE BITARTRATE; IBUPROFEN,HYDROCODONE BITARTRATE AND IBUPROFEN | REPREXAIN,Pain,CHRONIC,TABLET;ORAL,2003-12-31,2016-06-02,0,3,5,0,,,No,,,ACTAVIS LABORATORIES FL INC | AMNEAL PHARMACEUTICALS NY LLC | AUROLIFE PHARMA LLC
FENTANYL CITRATE,FENTANYL CITRATE | FENTANYL CITRATE PRESERVATIVE FREE | SUBLIMAZE PRESERVATIVE FREE,Pain,CHRONIC,INJECTABLE;INJECTION,1984-07-11,2023-01-20,3,2,2,0,,,No,,,FRESENIUS KABI USA LLC | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | RISING PHARMA HOLDINGS INC
APOMORPHINE HYDROCHLORIDE,APOKYN | APOMORPHINE HYDROCHLORIDE | ONAPGO,Pain,CHRONIC,INJECTABLE;SUBCUTANEOUS | SOLUTION;SUBCUTANEOUS,2004-04-20,2025-02-03,2,1,1,0,,,No,NP,2028-02-03,MDD US OPERATIONS LLC | MDD US OPERATIONS LLC A SUB OF SUPERNUS PHARMACEUTICALS INC | TP ANDA HOLDINGS LLC
METHYLNALTREXONE BROMIDE,RELISTOR,Pain,CHRONIC,SOLUTION;SUBCUTANEOUS | TABLET;ORAL,2008-04-24,2016-07-19,2,0,0,12,2031-03-10,2031,No,,,SALIX PHARMACEUTICALS INC
NALTREXONE,VIVITROL,Pain,CHRONIC,"FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",2006-04-13,2006-04-13,1,0,0,1,2029-10-15,2029,No,,,ALKERMES INC
OXYCODONE,XTAMPZA ER,Pain,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL",2016-04-26,2016-04-26,1,0,0,8,2036-09-02,2036,No,,,COLLEGIUM PHARMACEUTICAL INC
ZICONOTIDE ACETATE,PRIALT,Pain,CHRONIC,INJECTABLE;INTRATHECAL,2004-12-28,2004-12-28,1,0,0,0,,,No,,,ESTEVE PHARMACEUTICALS SA
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,"ADDERALL XR 10 | ADDERALL XR 15 | ADDERALL XR 20 | ADDERALL XR 25 | ADDERALL XR 30 | ADDERALL XR 5 | DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE | MYDAYIS",Psychiatric,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | TABLET;ORAL",2001-10-11,2024-11-07,2,31,192,2,2029-08-24,2029,No,,,ACTAVIS ELIZABETH LLC | ALKEM LABORATORIES LTD | ALVOGEN INC | ANI PHARMACEUTICALS INC | ASCENT PHARMACEUTICALS INC | AUROLIFE PHARMA LLC | BARR LABORATORIES INC | CEDIPROF INC | ELITE LABORATORIES INC | EPIC PHARMA LLC | GRANULES PHARMACEUTICALS INC | IMPAX LABORATORIES INC | LANNETT CO INC | LUPIN INC | NUVO PHARMACEUTICAL INC | ORYZA PHARMACEUTICALS INC | RHODES PHARMACEUTICALS LP | SANDOZ INC | SPECGX LLC | SUN PHARMACEUTICAL INDUSTRIES INC | TAKEDA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS USA INC | ZYDUS PHARMACEUTICALS USA INC
LISDEXAMFETAMINE DIMESYLATE,ARYNTA | LISDEXAMFETAMINE DIMESYLATE | VYVANSE,Psychiatric,CHRONIC,"CAPSULE;ORAL | SOLUTION;ORAL | TABLET, CHEWABLE;ORAL",2007-02-23,2025-06-16,3,22,147,3,2040-08-30,2040,No,,,ACTAVIS ELIZABETH LLC | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | APOTEX INC | ASCENT PHARMACEUTICALS INC | AZURITY PHARMACEUTICALS INC | ELITE LABORATORIES INC | GRANULES PHARMACEUTICALS INC | HIKMA PHARMACEUTICALS USA INC | LANNETT CO INC | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | NORWICH PHARMACEUTICALS INC | PRINSTON PHARMACEUTICAL INC | RHODES PHARMACEUTICALS LP | SANDOZ INC | SPECGX LLC | SUN PHARMACEUTICAL INDUSTRIES INC | TAKEDA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS DEVELOPMENT INC
LAMOTRIGINE,LAMICTAL | LAMICTAL CD | LAMICTAL ODT | LAMICTAL XR | LAMOTRIGINE | SUBVENITE,Psychiatric,CHRONIC,"SUSPENSION;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET, FOR SUSPENSION;ORAL | TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",1994-12-27,2026-02-25,5,36,144,3,2040-05-29,2040,No,,,ACTAVIS ELIZABETH LLC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | AMRING PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | DR REDDYS LABORATORIES LTD | GLAXOSMITHKLINE LLC | GLENMARK PHARMACEUTICALS LTD | IMPAX LABORATORIES INC | IPCA LABORATORIES LTD | JUBILANT CADISTA PHARMACEUTICALS INC | OWP PHARMACEUTICALS INC | PH HEALTH LTD | RUBICON RESEARCH LTD | SCIEGEN PHARMACEUTICALS INC | TARO PHARMACEUTICAL INDUSTRIES LTD | TORRENT PHARMACEUTICALS LTD | UNICHEM LABORATORIES LTD | WATSON LABORATORIES INC | YILING PHARMACEUTICAL LTD | ZYDUS PHARMACEUTICALS USA INC
METHYLPHENIDATE HYDROCHLORIDE,APTENSIO XR | CONCERTA | JORNAY PM | METADATE CD | METHYLIN | METHYLIN ER | METHYLPHENIDATE HYDROCHLORIDE | QUILLICHEW ER | QUILLIVANT XR | RELEXXII | RITALIN | RITALIN LA,Psychiatric,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | FOR SUSPENSION, EXTENDED RELEASE;ORAL | SOLUTION;ORAL | TABLET, CHEWABLE;ORAL | TABLET, EXTENDED RELEASE, CHEWABLE;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1998-11-27,2023-08-25,10,45,137,37,2037-02-03,2037,No,,,ABHAI LLC | ACCORD HEALTHCARE INC | ACTAVIS ELIZABETH LLC | ACTAVIS LABORATORIES FL INC | ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | ALKEM LABORATORIES LTD | ANDA REPOSITORY LLC | ANDOR PHARMACEUTICALS LLC | ASCENT PHARMACEUTICALS INC | AUROLIFE PHARMA LLC | AYTU BIOPHARMA INC | BIONPHARMA INC | CEDIPROF INC | DR REDDYS LABORATORIES SA | GRANULES PHARMACEUTICALS INC | HIBROW HEALTHCARE PRIVATE LTD | IMPAX LABORATORIES INC | IRONSHORE PHARMACEUTICALS INC A WHOLLY OWNED SUB OF COLLEGIUM PHARMACEUTICAL INC | JANSSEN PHARMACEUTICALS INC | LANNETT CO INC | NEXTWAVE PHARMACEUTICALS INC | NEXTWAVE PHARMACEUTICALS INC A SUB OF TRIS PHARMA INC | NOVEL LABORATORIES INC | OSMOTICA PHARMACEUTICAL US LLC | OXFORD PHARMACEUTICALS LLC | PRINSTON PHARMACEUTICAL INC | QUAGEN PHARMACEUTICALS LLC | RHODES PHARMACEUTICALS LP | RISING PHARMA HOLDINGS INC | SANDOZ INC | SPECGX LLC | SUN PHARMACEUTICAL INDUSTRIES INC | TEVA PHARMACEUTICALS USA | TRIS PHARMA INC
OLANZAPINE,OLANZAPINE | ZYPREXA | ZYPREXA ZYDIS,Psychiatric,CHRONIC,"POWDER;INTRAMUSCULAR | TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",1996-09-30,2026-03-05,3,34,132,0,,,No,,,ALKEM LABORATORIES LTD | AMERICAN REGENT INC | ANTHEA PHARMA PRIVATE LTD | APOTEX INC | ASPIRO PHARMA LTD | AUROBINDO PHARMA LTD | BARR LABORATORIES INC | CADILA PHARMACEUTICALS LTD | CHARTWELL MOLECULAR HOLDINGS LLC | CHEPLAPHARM REGISTRATION GMBH | DR REDDYS LABORATORIES LTD | EUGIA PHARMA SPECIALITIES LTD | HEC PHARM USA INC | HISUN PHARMACEUTICAL (HANGZHOU) CO LTD | JUBILANT GENERICS LTD | MACLEODS PHARMACEUTICALS LTD | OMNIVIUM PHARMACEUTICALS LLC | ORBION PHARMACEUTICALS PRIVATE LTD | PHARMOBEDIENT CONSULTING LLC | QILU PHARMACEUTICAL CO LTD | SANDOZ INC | STRIDES PHARMA INTERNATIONAL AG | SUNSHINE LAKE PHARMA CO LTD | TORRENT PHARMACEUTICALS LTD | UBI PHARMA INC | ZYDUS PHARMACEUTICALS USA INC
QUETIAPINE FUMARATE,QUETIAPINE FUMARATE | SEROQUEL | SEROQUEL XR,Psychiatric,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1997-09-26,2024-11-26,2,26,130,0,,,No,,,ACCORD HEALTHCARE INC | ALIGNSCIENCE PHARMA INC | ALKEM LABORATORIES LTD | AUROBINDO PHARMA LTD | CHEPLAPHARM ARZNEIMITTEL GMBH | HETERO LABS LTD UNIT V | HIKMA PHARMACEUTICALS USA INC | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | NOVAST LABORATORIES LTD | PLATINUM PHARMACEUTICALS | PRINSTON PHARMACEUTICAL INC | RISING PHARMA HOLDINGS INC | SCIEGEN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA | UNICHEM LABORATORIES LTD
RISPERIDONE,PERSERIS KIT | RISPERDAL | RISPERDAL CONSTA | RISPERIDONE | RYKINDO | UZEDY,Psychiatric,CHRONIC,"FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR | FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS | POWDER;INTRAMUSCULAR | SOLUTION;ORAL | SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS | TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",1993-12-29,2025-09-02,6,29,123,21,2042-03-17,2042,No,,,AJANTA PHARMA LTD | AMNEAL EU LTD | AMNEAL PHARMACEUTICALS | AMNEAL PHARMACEUTICALS LLC | ANI PHARMACEUTICALS INC | APOZEAL PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | CHARTWELL MOLECULAR HOLDINGS LLC | DR REDDYS LABORATORIES LTD | INDIVIOR INC | IPCA LABORATORIES LTD | JANSSEN PHARMACEUTICALS INC | JUBILANT CADISTA PHARMACEUTICALS INC | JUBILANT GENERICS LTD | NANOMI BV | NOVITIUM PHARMA LLC | PH HEALTH LTD | PRINSTON PHARMACEUTICAL INC | RENATA PLC | RISING PHARMA HOLDINGS INC | SANDOZ INC | SENORES PHARMACEUTICALS INC | SHANDONG LUYE PHARMACEUTICAL CO LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA NEUROSCIENCE INC | TEVA PHARMACEUTICALS USA INC | TORRENT PHARMACEUTICALS LTD | TRIS PHARMA INC | ZYDUS PHARMACEUTICALS USA INC
TOPIRAMATE,EPRONTIA | QUDEXY XR | TOPAMAX | TOPIRAMATE | TROKENDI XR,Psychiatric,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | CAPSULE;ORAL | SOLUTION;ORAL | TABLET;ORAL",1996-12-24,2026-05-26,5,33,121,20,2040-08-21,2040,No,,,ACCORD HEALTHCARE INC | ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | AJANTA PHARMA LTD | ALKEM LABORATORIES LTD | AMTA LABS LTD | ASCENT PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | CIPLA LTD | DR REDDYS LABORATORIES LTD | GLENMARK PHARMACEUTICALS LTD | INVAGEN PHARMACEUTICALS INC | JANSSEN PHARMACEUTICALS INC | LUPIN LTD | PH HEALTH LTD | PHARMACO LLC | RICONPHARMA LLC | RUBICON RESEARCH LTD | SENORES PHARMACEUTICALS INC | STRIDES PHARMA GLOBAL PTE LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | SUPERNUS PHARMACEUTICALS INC | TWI PHARMACEUTICALS INC | UNICHEM LABORATORIES LTD | UPSHER SMITH LABORATORIES LLC | XIAMEN LP PHARMACUETICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC | ZYDUS WORLDWIDE DMCC
VENLAFAXINE HYDROCHLORIDE,EFFEXOR XR | VENLAFAXINE HYDROCHLORIDE,Psychiatric,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1997-10-20,2025-02-07,2,32,115,0,,,No,,,ABON PHARMACEUTICALS LLC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | ANNORA PHARMA PRIVATE LTD | ASCENT PHARMACEUTICALS INC | AUROBINDO PHARMA LIMITED | AUROBINDO PHARMA LTD | CADILA PHARMACEUTICALS LTD | DEXCEL PHARMA TECHNOLOGIES LTD | DR REDDYS LABORATORIES LTD | GRANULES INDIA LTD | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | INVENTIA HEALTHCARE PRIVATE LTD | MACLEODS PHARMACEUTICALS LTD | MPP PHARMA LLC | ORBION PHARMACEUTICALS PRIVATE LTD | OSMOTICA PHARMACEUTICAL US LLC | PLATINUM PHARMACEUTICALS | SCIEGEN PHARMACEUTICALS INC | SOMERSET THERAPEUTICS LLC | SUN PHARMACEUTICAL INDUSTRIES INC | TEVA PHARMACEUTICALS USA INC | UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD | UPJOHN US 2 LLC | YAOPHARMA CO LTD | YICHANG HUMANWELL PHARMACEUTICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC
DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE | SILENOR | ZONALON,Psychiatric,CHRONIC,CAPSULE;ORAL | CONCENTRATE;ORAL | CREAM;TOPICAL | TABLET;ORAL,1986-05-13,2026-04-28,2,31,103,16,2030-09-07,2030,No,,,ACTAVIS ELIZABETH LLC | AIPING PHARMACEUTICAL INC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS CO GMBH | AMNEAL PHARMACEUTICALS LLC | APPCO PHARMA LLC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | CURRAX PHARMACEUTICALS LLC | EPIC PHARMA LLC | IXORA LIFESCIENCE LLP | JUBILANT CADISTA PHARMACEUTICALS INC | LANNETT CO INC | MANKIND PHARMA LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | PH HEALTH LTD | RK PHARMA INC | STRIDES PHARMA INTERNATIONAL AG | SUN PHARMA CANADA INC | TARO PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS DEVELOPMENT INC | UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD | VELZEN PHARMA PVT LTD | ZYDUS LIFESCIENCES LTD
ARIPIPRAZOLE,ABILIFY | ABILIFY ASIMTUFII | ABILIFY MAINTENA KIT | ARIPIPRAZOLE | OPIPZA,Psychiatric,CHRONIC,"FILM;ORAL | FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR | SOLUTION;ORAL | SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR | TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",2002-11-15,2026-02-18,4,28,102,14,2041-12-15,2041,No,,,ACCORD HEALTHCARE INC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS | APOTEX INC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | HETERO LABS LTD UNIT III | HETERO LABS LTD UNIT V | LANNETT CO INC | MACLEODS PHARMACEUTICALS LTD | ORBION PHARMACEUTICALS PRIVATE LTD | OTSUKA PHARMACEUTICAL CO LTD | PRINSTON PHARMACEUTICAL INC | QUAGEN PHARMACEUTICALS LLC | RUBICON RESEARCH LTD | SCIEGEN PHARMACEUTICALS INC | SQUARE PHARMACEUTICALS LTD | SUNSHINE LAKE PHARMA CO LTD | TORRENT PHARMACEUTICALS LTD | UNICHEM LABORATORIES LTD | VISTAPHARM LLC | XIAMEN LP PHARMACUETICAL CO LTD
BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE | FORFIVO XL | WELLBUTRIN SR | WELLBUTRIN XL,Psychiatric,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1996-10-04,2026-05-04,3,37,78,1,2028-08-23,2028,No,,,ACCORD HEALTHCARE INC | ACTAVIS LABORATORIES FL INC | ALEMBIC PHARMACEUTICALS LTD | ANBISON LABORATORY CO LTD | ANNORA PHARMA PRIVATE LTD | APOTEX INC | AUROBINDO PHARMA USA INC | BAUSCH HEALTH US LLC | CADILA PHARMACEUTICALS LTD | EPIC PHARMA LLC | GLAXOSMITHKLINE | GRANULES PHARMACEUTICALS INC | GRAVITI PHARMACEUTICALS PRIVATE LTD | HERITAGE PHARMA LABS INC | IMPAX LABORATORIES INC | IPCA LABORATORIES LTD | LUPIN LTD | MICRO LABS LTD | PRINSTON PHARMACEUTICAL INC | SANDOZ INC | SCIEGEN PHARMACEUTICALS INC | SENORES PHARMACEUTICALS INC | SINOTHERAPEUTICS INC | TWI PHARMACEUTICALS INC | WATSON LABORATORIES INC | WOCKHARDT LTD | YICHANG HUMANWELL PHARMACEUTICAL CO LTD | ZHEJIANG JUTAI PHARMACEUTICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC
LURASIDONE HYDROCHLORIDE,LATUDA | LURASIDONE HYDROCHLORIDE,Psychiatric,CHRONIC,TABLET;ORAL,2010-10-28,2025-01-13,1,16,78,10,2031-11-23,2031,No,,,ACCORD HEALTHCARE INC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES LTD | HERITAGE PHARMA LABS INC DBA AVET PHARMACEUTICALS LABS INC | INVAGEN PHARMACEUTICALS INC | JUBILANT GENERICS LTD | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | SUNOVION PHARMACEUTICALS INC | TORRENT PHARMACEUTICALS LTD | ZYDUS PHARMACEUTICALS USA INC
BUSPIRONE HYDROCHLORIDE,BUCAPSOL | BUSPIRONE HYDROCHLORIDE,Psychiatric,CHRONIC,CAPSULE;ORAL | TABLET;ORAL,2001-03-28,2026-05-13,0,17,74,0,,,No,,,ACCORD HEALTHCARE INC | AIPING PHARMACEUTICAL INC | AUROBINDO PHARMA LTD | EPIC PHARMA LLC | HERITAGE PHARMA LABS INC | IMPAX LABORATORIES INC | INVENTIA HEALTHCARE PRIVATE LTD | MYLAN PHARMACEUTICALS INC | OXFORD PHARMACEUTICALS LLC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | STRIDES PHARMA GLOBAL PTE LTD | TEVA PHARMACEUTICALS USA INC | UNICHEM LABORATORIES LTD | ZYDUS PHARMACEUTICALS USA INC
CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE | SONAZINE,Psychiatric,CHRONIC,CONCENTRATE;ORAL | INJECTABLE;INJECTION | TABLET;ORAL,2018-09-10,2026-01-26,0,28,74,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS CO GMBH | ASPIRO PHARMA LTD | AUROBINDO PHARMA LTD | DEVA HOLDING ANONIM SIRKETI | DR REDDYS LABORATORIES LTD | EUGIA PHARMA SPECIALITIES LTD | GENUS LIFESCIENCES INC | GLAND PHARMA LTD | GLENMARK PHARMACEUTICALS LTD | HIKMA PHARMACEUTICALS USA INC | LANNETT CO INC | LUPIN INC | MSN LABORATORIES PRIVATE LTD | RUBICON RESEARCH LTD | SAPTALIS PHARMACEUTICALS LLC | SOMERSET THERAPEUTICS LLC | TEVA PHARMACEUTICALS DEVELOPMENT INC | THINQ PHARMA-CRO PRIVATE LTD | UPSHER SMITH LABORATORIES LLC | ZAMEER PHARMACEUTICALS LLC | ZYDUS LIFESCIENCES GLOBAL FZE | ZYDUS PHARMACEUTICALS USA INC
DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE HYDROCHLORIDE | FOCALIN | FOCALIN XR,Psychiatric,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | TABLET;ORAL",2001-11-13,2021-12-08,2,15,70,0,,,No,,,ABHAI LLC | ADARE PHARMACEUTICALS INC | ALKEM LABORATORIES LTD | ASCENT PHARMACEUTICALS INC | CEDIPROF INC | GRANULES PHARMACEUTICALS INC | IMPAX LABORATORIES INC | NOVEL LABORATORIES INC | PH HEALTH LTD | PLATINUM PHARMACEUTICALS | SANDOZ INC | SUN PHARMACEUTICAL INDUSTRIES INC | TEVA PHARMACEUTICALS USA | TRIS PHARMA INC
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,Psychiatric,CHRONIC,TABLET;ORAL,1987-07-14,2025-06-23,0,11,66,0,,,No,,,ACCORD HEALTHCARE INC | AIPING PHARMACEUTICAL INC | AUROBINDO PHARMA USA INC | MANKIND PHARMA LTD | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SANDOZ INC | SUN PHARMACEUTICAL INDUSTRIES INC | UNICHEM LABORATORIES LTD | UNIQUE PHARMACEUTICAL LABORATORIES | ZYDUS PHARMACEUTICALS USA INC
FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,Psychiatric,CHRONIC,"CAPSULE, DELAYED REL PELLETS;ORAL | CAPSULE;ORAL | SOLUTION;ORAL | TABLET;ORAL",2001-08-02,2024-09-13,0,35,65,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CADILA PHARMACEUTICALS LTD | DR REDDYS LABORATORIES LTD | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | INVENTIA HEALTHCARE PRIVATE LTD | IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA | LANDELA PHARMACEUTICAL | LANNETT CO INC | LUPIN LTD | MARKSANS PHARMA LTD | MICRO LABS LTD | NOVITIUM PHARMA LLC | PH HEALTH LTD | SCIEGEN PHARMACEUTICALS INC | SENORES PHARMACEUTICALS INC | SOLIS PHARMACEUTICALS INC | SOMERSET THERAPEUTICS LLC | STRIDES PHARMA GLOBAL PTE LTD | TEVA PHARMACEUTICALS USA | TEVA PHARMACEUTICALS USA INC | TORRENT PHARMACEUTICALS LTD | UPSHER SMITH LABORATORIES LLC
CARBAMAZEPINE,CARBAMAZEPINE | CARBATROL | EPITOL | EQUETRO | TEGRETOL | TEGRETOL-XR | TERIL,Psychiatric,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | SUSPENSION;ORAL | TABLET, CHEWABLE;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1986-09-17,2025-07-25,5,30,64,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | ANBISON LABORATORY CO LTD | ANI PHARMACEUTICALS INC | APOTEX INC | BIONPHARMA INC | CHARTWELL RX SCIENCES LLC | CSPC OUYI PHARMACEUTICAL CO LTD | INGENUS PHARMACEUTICALS LLC | NOVARTIS PHARMACEUTICALS CORP | NOVITIUM PHARMA LLC | SCIECURE PHARMA INC | TAKEDA PHARMACEUTICALS USA INC | TARO PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA | TEVA PHARMACEUTICALS USA INC | TORRENT PHARMACEUTICALS LTD | UMEDICA LABORATORIES PRIVATE LTD | UNICHEM LABORATORIES LTD | UNIQUE PHARMACEUTICAL LABORATORIES | VALIDUS PHARMACEUTICALS LLC | YICHANG HUMANWELL PHARMACEUTICAL CO LTD | ZHEJIANG JIUZHOU BIOPHARMA CO LTD | ZYDUS PHARMACEUTICALS USA INC
FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,Psychiatric,CHRONIC,CONCENTRATE;ORAL | ELIXIR;ORAL | INJECTABLE;INJECTION | TABLET;ORAL,1987-04-16,2025-11-18,0,18,63,0,,,No,,,AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AMNEAL EU LTD | AUROBINDO PHARMA LTD | DR REDDYS LABORATORIES INC | FRESENIUS KABI USA LLC | GLENMARK PHARMACEUTICALS LTD | HETERO LABS LTD UNIT III | LANNETT CO INC | MSN LABORATORIES PRIVATE LTD | NOVITIUM PHARMA LLC | PHARMACEUTICAL ASSOCIATES INC | RISING PHARMA HOLDINGS INC | TARO PHARMACEUTICAL INDUSTRIES LTD | UPSHER SMITH LABORATORIES LLC | ZAMEER PHARMACEUTICALS LLC | ZYDUS LIFESCIENCES GLOBAL FZE
HALOPERIDOL,HALOPERIDOL,Psychiatric,CHRONIC,TABLET;ORAL,1986-06-10,2026-06-04,0,13,63,0,,,No,,,AIPING PHARMACEUTICAL INC | ALEMBIC PHARMACEUTICALS LTD | APPCO PHARMA LLC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | CREEKWOOD PHARMACEUTICALS LLC | INNOGENIX LLC | MANKIND PHARMA LTD | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | ZYDUS PHARMACEUTICALS USA INC
GUANFACINE HYDROCHLORIDE,GUANFACINE HYDROCHLORIDE | INTUNIV,Psychiatric,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1995-10-17,2026-03-24,1,21,62,0,,,No,,,ACTAVIS ELIZABETH LLC | AIPING PHARMACEUTICAL INC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICAL | APOTEX INC | ASCENT PHARMACEUTICALS INC | AUROBINDO PHARMA USA INC | EPIC PHARMA LLC | FOSUN WANBANG (JIANGSU) PHARMACEUTICAL GROUP CO LTD | I 3 PHARMACEUTICALS LLC | RUBICON RESEARCH LTD | SANDOZ INC | TAKEDA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS USA | TWI PHARMACEUTICALS INC | UNICHEM LABORATORIES LTD | WATSON LABORATORIES INC | XIROMED PHARMA ESPANA SL | YICHANG HUMANWELL PHARMACEUTICAL CO LTD
