Ingredient,Trade_Name(s),Applicant(s),NDA_Count,ANDA_Count,NDA_Appl_Nos,ANDA_Appl_Nos,DF_Route(s),TE_Code(s),Earliest_Approval,Latest_Approval,RLD_Count,Generic_Competitor_Count,Disease_Category,Duration_Class,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Exclusivity_Codes,Latest_Exclusivity_Date,Has_Blocking_Exclusivity
LEVODOPA,INBRIJA,MERZ PHARMACEUTICALS LLC,1,0,209184,,POWDER;INHALATION,,2018-12-21,2018-12-21,1,0,Neurology,CHRONIC,6,2033-10-21,2033,,,No
LEVOFLOXACIN,LEVOFLOXACIN | LEVOFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,AUROBINDO PHARMA LIMITED | CHARTWELL MOLECULAR HOLDINGS LLC | DR REDDYS LABORATORIES INC | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | GLENMARK PHARMACEUTICALS LTD | HEC PHARM USA INC | HETERO LABS LTD UNIT V | HIKMA FARMACEUTICA (PORTUGAL) SA | HOSPIRA INC | INFORLIFE SA | LANNETT CO INC | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD INDIA | NOVITIUM PHARMA LLC | ORBION PHARMACEUTICALS PRIVATE LTD | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | TEVA PHARMACEUTICALS USA INC | ZYDUS LIFESCIENCES LTD,0,22,,076361 | 076710 | 076890 | 077652 | 077700 | 078282 | 078579 | 090343 | 091375 | 091644 | 091678 | 200250 | 200674 | 200839 | 201043 | 202200 | 202801 | 204968 | 205222 | 205540 | 205600 | 206908,INJECTABLE;INJECTION | SOLUTION/DROPS;OPHTHALMIC | SOLUTION;ORAL | TABLET;ORAL,AA | AB | AP | AT,2010-12-20,2020-12-30,0,54,Infectious,SHORT,0,,,,,No
LEVOKETOCONAZOLE,RECORLEV,STRONGBRIDGE DUBLIN LTD,1,0,214133,,TABLET;ORAL,,2021-12-30,2021-12-30,1,0,Infectious,SHORT,9,2040-03-02,2040,NCE* | ODE-385,2028-12-30,No
LEVOLEUCOVORIN,KHAPZORY,ACROTECH BIOPHARMA INC,1,0,211226,,POWDER;INTRAVENOUS,,2018-10-19,2018-10-19,1,0,Oncology,SHORT,1,2039-03-25,2039,,,No
LEVOLEUCOVORIN CALCIUM,LEVOLEUCOVORIN CALCIUM,GLAND PHARMA LTD | HAINAN POLY PHARMACEUTICAL CO LTD | MEITHEAL PHARMACEUTICALS INC | SANDOZ INC,0,4,,203563 | 210892 | 211002 | 217314,SOLUTION;INTRAVENOUS,AP,2015-03-09,2023-05-22,0,6,Oncology,SHORT,0,,,,,No
LEVOMILNACIPRAN HYDROCHLORIDE,FETZIMA | LEVOMILNACIPRAN HYDROCHLORIDE,ABBVIE INC | PRINSTON PHARMACEUTICAL INC,1,1,204168,210771,"CAPSULE, EXTENDED RELEASE;ORAL",AB,2013-07-25,2023-03-20,4,4,Psychiatric,CHRONIC,3,2032-05-23,2032,,,No
LEVONORGESTREL,ATHENTIA NEXT | FALLBACK SOLO | HER STYLE | KYLEENA | LEVONORGESTREL | LILETTA | MIRENA | OPCICON ONE-STEP | PLAN B ONE-STEP | SKYLA,ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | BAYER HEALTHCARE PHARMACEUTICALS INC | FOUNDATION CONSUMER HEALTHCARE LLC | GLENMARK PHARMACEUTICALS LTD | LABORATOIRE HRA PHARMA | LUPIN LTD | MEDICINES360 | NAARI PTE LTD | NOVAST LABORATORIES LTD | NOVEL LABORATORIES INC | PERRIGO R AND D CO | SUN PHARMACEUTICAL INDUSTRIES LTD | XIROMED LLC | XIROMED PHARMA ESPANA SL,5,13,021225 | 021998 | 203159 | 206229 | 208224,201446 | 202334 | 202380 | 202508 | 202635 | 202739 | 204044 | 205329 | 206867 | 207044 | 207660 | 207976 | 219102,SYSTEM;INTRAUTERINE | TABLET;ORAL,,2000-12-06,2025-09-30,5,13,Metabolic,CHRONIC,7,2040-09-07,2040,,,No
LEVORPHANOL TARTRATE,LEVORPHANOL TARTRATE,ACERTIS PHARMACEUTICALS LLC | HIKMA PHARMACEUTICALS USA INC | NOVITIUM PHARMA LLC | SPECGX LLC | SUN PHARMACEUTICAL INDUSTRIES INC,0,5,,074278 | 211484 | 212024 | 213479 | 213906,TABLET;ORAL,AB | BX,2000-03-31,2023-04-25,0,8,Other/Unclassified,OTHER,0,,,,,No
LEVOTHYROXINE SODIUM,ERMEZA | LEVO-T | LEVOLET | LEVOTHYROXINE SODIUM | LEVOXYL | SYNTHROID | THYQUIDITY | THYRO-TABS | TIROSINT | TIROSINT-SOL | UNITHROID,ABBVIE INC | ACCORD HEALTHCARE INC | ALEMBIC PHARMACEUTICALS LTD | ALVOGEN INC | ASCENT PHARMACEUTICALS INC | CEDIPROF INC | FRESENIUS KABI USA LLC | GENUS LIFE SCIENCES INC | HIKMA PHARMACEUTICALS USA INC | IBSA INSTITUT BIOCHIMIQUE SA | JEROME STEVENS PHARMACEUTICALS INC | KING PHARMACEUTICALS RESEARCH AND DEVELOPMENT LLC | LUPIN INC | MACLEODS PHARMACEUTICALS LTD | MAIA PHARMACEUTICALS INC | MYLAN PHARMACEUTICALS INC | ONESOURCE SPECIALTY PTE LTD | PIRAMAL CRITICAL CARE LTD | WATSON LABORATORIES INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | XIROMED PHARMA ESPANA SL | ZYDUS PHARMACEUTICALS USA INC,13,12,021116 | 021137 | 021210 | 021301 | 021342 | 021402 | 021924 | 202231 | 206977 | 210632 | 214047 | 214253 | 215809,076187 | 206163 | 207588 | 208749 | 209713 | 211417 | 212399 | 215259 | 216370 | 216729 | 217066 | 217495,CAPSULE;ORAL | POWDER;INTRAVENOUS | SOLUTION;INTRAVENOUS | SOLUTION;ORAL | TABLET;ORAL,"AB1,AB2 | AB1,AB2,AB3 | AB1,AB2,AB3,AB4 | AB1,AB3 | AB2 | AB4 | AP",2000-08-21,2026-05-20,86,96,Metabolic,CHRONIC,15,2044-09-26,2044,,,No
LIDOCAINE,BONDLIDO | LIDOCAINE | LIDODERM | ZTLIDO,ACTAVIS LABORATORIES UT INC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS | AMNEAL PHARMACEUTICALS LLC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | DIFGEN PHARMACEUTICALS LLC | FOUGERA PHARMACEUTICALS INC | GLENMARK PHARMACEUTICALS LTD | IBSA INSTITUT BIOCHIMIQUE SA | MACLEODS PHARMACEUTICALS LTD | MEDRX USA INC | NAL PHARMACEUTICAL GROUP LTD | PHARMOBEDIENT CONSULTING LLC | QUAGEN PHARMACEUTICALS LLC | SCILEX PHARMACEUTICALS INC | SEPTODONT INC | STRIDES PHARMA GLOBAL PTE LTD | SUN PHARMA CANADA INC | TEIKOKU PHARMA USA INC | USPHARMA LTD,3,20,020612 | 207962 | 215029,040911 | 080198 | 086724 | 200675 | 202346 | 205882 | 206297 | 206463 | 206498 | 207059 | 207810 | 208660 | 209190 | 210958 | 211469 | 211697 | 212695 | 216484 | 217117 | 217221,OINTMENT;TOPICAL | PATCH;TOPICAL | SYSTEM;TOPICAL,AB | AT,1999-03-19,2026-02-09,4,20,Pain,SHORT,8,2031-05-10,2031,NP,2028-09-24,No
LIDOCAINE HYDROCHLORIDE,AKTEN | GLYDO | LARYNG-O-JET KIT | LIDOCAINE HYDROCHLORIDE | LIDOCAINE HYDROCHLORIDE 0.2% AND DEXTROSE 5% IN PLASTIC CONTAINER | LIDOCAINE HYDROCHLORIDE 0.4% AND DEXTROSE 5% IN PLASTIC CONTAINER | LIDOCAINE HYDROCHLORIDE 0.8% AND DEXTROSE 5% IN PLASTIC CONTAINER | LIDOCAINE HYDROCHLORIDE 5% AND DEXTROSE 7.5% | LIDOCAINE HYDROCHLORIDE IN PLASTIC CONTAINER | LIDOCAINE HYDROCHLORIDE PRESERVATIVE FREE | LIDOCAINE HYDROCHLORIDE PRESERVATIVE FREE IN PLASTIC CONTAINER | LIDOCAINE HYDROCHLORIDE VISCOUS | LIDOCAINE VISCOUS | XYLOCAINE | ZINGO,AFAXYS PHARMA LLC | ANTHEA PHARMA PRIVATE LTD | ASPIRO PHARMA LTD | AUROBINDO PHARMA LTD | B BRAUN MEDICAL INC | BAXTER HEALTHCARE CORP | CHARTWELL MOLECULAR HOLDINGS LLC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | HUONS CO LTD | INTERNATIONAL MEDICATION SYSTEM | LANNETT CO INC | MANKIND PHARMA LTD | NOVITIUM PHARMA LLC | PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC | PHARMOBEDIENT CONSULTING LLC | POWDER PHARMACEUTICALS INC | QUAGEN PHARMACEUTICALS LLC | RUBICON RESEARCH LTD | SAGENT PHARMACEUTICALS INC | SENTISS AG | SPECTRA MEDICAL DEVICES INC | SUN PHARMA CANADA INC | THE J MOLNER CO OU | THEA PHARMA INC | VIWIT PHARMACEUTICAL CO LTD | WEST-WARD PHARMACEUTICALS INTERNATIONAL LTD | YILING PHARMACEUTICAL LTD,6,47,006488 | 017584 | 018461 | 019830 | 022114 | 022221,040078 | 040302 | 040433 | 040708 | 040710 | 080407 | 080408 | 083173 | 083914 | 084625 | 086283 | 086364 | 087872 | 087881 | 088294 | 088295 | 088299 | 088325 | 088327 | 088328 | 088329 | 088586 | 088802 | 088803 | 201094 | 203082 | 204494 | 207182 | 208017 | 208474 | 212821 | 214267 | 214269 | 214336 | 214339 | 215132 | 216250 | 216780 | 217692 | 217693 | 218138 | 218182 | 218411 | 218676 | 219535 | 219759 | 220071,GEL;OPHTHALMIC | INJECTABLE;INJECTION | INJECTABLE;SPINAL | JELLY;TOPICAL | SOLUTION;ORAL | SOLUTION;TOPICAL | SYSTEM;INTRADERMAL,AP | AT,1982-02-22,2026-03-20,7,65,Pain,SHORT,4,2035-09-28,2035,,,No
LIDOCAINE; PRILOCAINE,LIDOCAINE AND PRILOCAINE | ORAQIX,ALEMBIC PHARMACEUTICALS LTD | DENTSPLY PHARMACEUTICAL INC | ENCUBE ETHICALS PRIVATE LTD | FOUGERA PHARMACEUTICALS INC | PADAGIS US LLC | ZYDUS LIFESCIENCES LTD,1,5,021451,076320 | 076453 | 212482 | 213923 | 219120,CREAM;TOPICAL | GEL;PERIODONTAL,AB,2003-08-18,2024-12-17,1,5,Pain,SHORT,0,,,,,No
LIDOCAINE; TETRACAINE,PLIAGLIS,CRESCITA THERAPEUTICS INC,1,0,021717,,CREAM;TOPICAL,,2006-06-29,2006-06-29,1,0,Pain,SHORT,4,2031-01-14,2031,,,No
LIFITEGRAST,XIIDRA,BAUSCH AND LOMB INC,1,0,208073,,SOLUTION/DROPS;OPHTHALMIC,,2016-07-11,2016-07-11,1,0,Other/Unclassified,OTHER,10,2033-12-18,2033,,,No
LINACLOTIDE,LINZESS,ABBVIE INC,1,0,202811,,CAPSULE;ORAL,,2012-08-30,2017-01-25,3,0,GI,CHRONIC,14,2034-02-16,2034,NPP | PED,2029-05-04,Yes
LINAGLIPTIN,LINAGLIPTIN | TRADJENTA,AUROBINDO PHARMA LTD | BOEHRINGER INGELHEIM PHARMACEUTICALS INC | DR REDDYS LABORATORIES LTD | INVAGEN PHARMACEUTICALS INC | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | SUNSHINE LAKE PHARMA CO LTD | TEVA PHARMACEUTICALS USA INC | ZYDUS PHARMACEUTICALS USA INC,1,8,201280,208335 | 208415 | 208423 | 208428 | 208431 | 208433 | 208448 | 208457,TABLET;ORAL,AB,2011-05-02,2026-05-27,1,8,Metabolic,CHRONIC,18,2037-12-08,2037,PED,2026-12-20,Yes
LINAGLIPTIN; METFORMIN HYDROCHLORIDE,JENTADUETO | JENTADUETO XR | LINAGLIPTIN AND METFORMIN HYDROCHLORIDE,BOEHRINGER INGELHEIM PHARMACEUTICALS INC | DR REDDYS LABORATORIES LTD | MSN LABORATORIES PRIVATE LTD | SUNSHINE LAKE PHARMA CO LTD | ZYDUS PHARMACEUTICALS USA INC,2,4,201281 | 208026,208336 | 208427 | 208449 | 208459,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",AB,2012-01-30,2025-11-03,5,12,Metabolic,CHRONIC,21,2037-12-08,2037,PED,2026-12-20,Yes
LINCOMYCIN HYDROCHLORIDE,LINCOCIN | LINCOMYCIN HYDROCHLORIDE,ARTHUR GROUP LLC | GLAND PHARMA LTD | MICRO LABS LTD | PFIZER INC | XGEN PHARMACEUTICALS DJB INC,1,4,050317,201746 | 212770 | 215082 | 215657,INJECTABLE;INJECTION,AP,2015-06-04,2022-09-26,1,4,Infectious,SHORT,0,,,,,No
LINERIXIBAT,LYNAVOY,INTERCEPT PHARMACEUTICALS INC,1,0,220295,,TABLET;ORAL,,2026-03-17,2026-03-17,1,0,Other/Unclassified,OTHER,1,2031-09-06,2031,NCE | ODE-517,2033-03-17,Yes
LINEZOLID,LINEZOLID | LINEZOLID IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | ZYVOX,ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | CAPLIN STERILES LTD | CHARTWELL RX SCIENCES LLC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLENMARK SPECIALTY SA | HETERO LABS LTD | HETERO LABS LTD UNIT V | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | HQ SPECIALTY PHARMA CORP | NANG KUANG PHARMACEUTICAL CO LTD | NOVEL LABORATORIES INC | PFIZER INC | PHARMOBEDIENT CONSULTING LLC | RISING PHARMA HOLDINGS INC | SAGENT PHARMACEUTICALS INC | SANDOZ INC | ZYDUS PHARMACEUTICALS USA INC,3,19,021131 | 021132 | 206473,078845 | 078987 | 200068 | 200904 | 204239 | 204696 | 204764 | 205154 | 205233 | 205517 | 206097 | 206454 | 206917 | 207001 | 207354 | 207526 | 210702 | 211813 | 219558,FOR SUSPENSION;ORAL | SOLUTION;INTRAVENOUS | TABLET;ORAL,AB | AP,2000-04-18,2025-12-08,4,24,Infectious,SHORT,0,,,,,No
LIOTHYRONINE SODIUM,CYTOMEL | LIOTHYRONINE SODIUM,BIOCON PHARMA INC | DR REDDYS LABORATORIES SA | KING PHARMACEUTICALS RESEARCH AND DEVELOPMENT LLC | SIGMAPHARM LABORATORIES LLC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA INC | XGEN PHARMACEUTICALS DJB INC | ZYDUS LIFESCIENCES GLOBAL FZE,1,7,010379,076923 | 090097 | 091382 | 200295 | 211510 | 214803 | 218070,INJECTABLE;INJECTION | TABLET;ORAL,AB,2005-08-17,2024-02-06,3,19,Metabolic,CHRONIC,0,,,,,No
LIRAGLUTIDE,LIRAGLUTIDE | SAXENDA | VICTOZA,BIOCON PHARMA LTD | FRESENIUS KABI USA LLC | HIKMA PHARMACEUTICALS USA INC | LUPIN LTD | NANJING KING FRIEND BIOCHEMICAL PHARMACEUTICAL CO LTD | NOVO NORDISK INC | ORBICULAR PHARMACEUTICAL TECHNOLOGIES PRIVATE LTD | TEVA PHARMACEUTICALS DEVELOPMENT INC,2,9,022341 | 206321,212552 | 214568 | 215245 | 215421 | 215503 | 217063 | 217234 | 217590 | 218115,SOLUTION;SUBCUTANEOUS,AP1 | AP2,2010-01-25,2026-03-30,2,9,Metabolic,CHRONIC,4,2037-07-09,2037,,,No
LISDEXAMFETAMINE DIMESYLATE,ARYNTA | LISDEXAMFETAMINE DIMESYLATE | VYVANSE,ACTAVIS ELIZABETH LLC | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | APOTEX INC | ASCENT PHARMACEUTICALS INC | AZURITY PHARMACEUTICALS INC | ELITE LABORATORIES INC | GRANULES PHARMACEUTICALS INC | HIKMA PHARMACEUTICALS USA INC | LANNETT CO INC | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | NORWICH PHARMACEUTICALS INC | PRINSTON PHARMACEUTICAL INC | RHODES PHARMACEUTICALS LP | SANDOZ INC | SPECGX LLC | SUN PHARMACEUTICAL INDUSTRIES INC | TAKEDA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS DEVELOPMENT INC,3,22,021977 | 208510 | 219847,202802 | 202827 | 202830 | 202835 | 202836 | 211840 | 214134 | 214484 | 214547 | 215330 | 215415 | 215802 | 216266 | 216944 | 217068 | 217194 | 217442 | 218306 | 218604 | 218850 | 218987 | 219258,"CAPSULE;ORAL | SOLUTION;ORAL | TABLET, CHEWABLE;ORAL",AB,2007-02-23,2025-06-16,14,147,Psychiatric,CHRONIC,3,2040-08-30,2040,,,No
LISINOPRIL,LISINOPRIL | QBRELIS | ZESTRIL,ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | CHARTWELL RX SCIENCES LLC | COREPHARMA LLC | INVAGEN PHARMACEUTICALS INC | LUPIN LTD | PRINSTON PHARMACEUTICAL INC | SCIEGEN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TWI PHARMACEUTICALS INC | WATSON LABORATORIES INC | WOCKHARDT BIO AG,2,13,019777 | 208401,075743 | 075903 | 075944 | 075994 | 076059 | 076102 | 076164 | 077321 | 077622 | 078402 | 203508 | 208920 | 212041,SOLUTION;ORAL | TABLET;ORAL,AB,1988-05-19,2021-03-04,7,72,Cardiovascular,CHRONIC,12,2035-11-06,2035,,,No
LITHIUM CARBONATE,LITHIUM CARBONATE | LITHOBID,ALEMBIC LTD | ANI PHARMACEUTICALS INC | GLENMARK PHARMACEUTICALS INC USA | GLENMARK PHARMACEUTICALS LTD | HERITAGE PHARMA LABS INC | HETERO LABS LTD UNIT III | HIKMA PHARMACEUTICALS USA INC | SUN PHARMACEUTICAL INDUSTRIES INC | UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD,3,11,017812 | 018027 | 018558,076691 | 076832 | 079139 | 079159 | 090702 | 091027 | 091544 | 091616 | 204779 | 205532 | 205663,"CAPSULE;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",AB,1982-01-29,2017-06-05,5,17,Psychiatric,CHRONIC,0,,,,,No
LITHIUM CITRATE,LITHIUM CITRATE,PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC | RUBICON RESEARCH LTD | SCIEGEN PHARMACEUTICALS INC,0,3,,070755 | 217183 | 218036,SYRUP;ORAL,AA,1986-05-21,2024-03-18,0,3,Psychiatric,CHRONIC,0,,,,,No
LOFEXIDINE HYDROCHLORIDE,LOFEXIDINE HYDROCHLORIDE | LUCEMYRA,BIOCORRX PHARMACEUTICALS INC | MSN LABORATORIES PRIVATE LTD | NOVITIUM PHARMA LLC | REGCON HOLDINGS LLC,1,3,209229,218613 | 218699 | 219917,TABLET;ORAL,AB,2018-05-16,2025-10-22,1,3,Other/Unclassified,OTHER,0,,,,,No
LOMITAPIDE MESYLATE,JUXTAPID,CHIESI FARMACEUTICI SPA,1,0,203858,,CAPSULE;ORAL,,2012-12-21,2026-02-25,5,0,Other/Unclassified,OTHER,2,2041-07-29,2041,NPP | NS,2029-02-25,No
LOMUSTINE,GLEOSTINE | LOMUSTINE,AZURITY PHARMACEUTICALS INC | CARNEGIE PHARMACEUTICALS LLC,1,1,017588,219265,CAPSULE;ORAL,AB,2025-10-27,2025-10-27,3,3,Oncology,LONG-TERM,0,,,,,No
LONAFARNIB,ZOKINVY,SENTYNL THERAPEUTICS INC,1,0,213969,,CAPSULE;ORAL,,2020-11-20,2020-11-20,2,0,Other/Unclassified,OTHER,1,2029-07-26,2029,ODE-324,2027-11-20,No
LOPERAMIDE HYDROCHLORIDE,IMODIUM A-D | LOPERAMIDE HYDROCHLORIDE,AUROBINDO PHARMA LTD | BIONPHARMA INC | EDENBRIDGE PHARMACEUTICALS LLC | JUBILANT CADISTA PHARMACEUTICALS INC | KENVUE BRANDS LLC | L PERRIGO CO | LNK INTERNATIONAL INC | MARKSANS PHARMA LTD | MYLAN PHARMACEUTICALS INC | OHM LABORATORIES INC | ONESOURCE SPECIALTY PTE LTD | PERRIGO R AND D CO | RUBICON RESEARCH LTD | TEVA PHARMACEUTICALS USA INC | ZYDUS LIFESCIENCES LTD,3,17,019487 | 019860 | 021855,072741 | 073192 | 074091 | 075232 | 076497 | 091292 | 206548 | 213070 | 215001 | 215579 | 216876 | 217471 | 217840 | 218122 | 220100 | 220153 | 220372,CAPSULE;ORAL | SOLUTION;ORAL | TABLET;ORAL,AB,1989-11-22,2025-12-29,4,17,GI,PERIODIC,0,,,,,No
LOPERAMIDE HYDROCHLORIDE; SIMETHICONE,IMODIUM MULTI-SYMPTOM RELIEF | LOPERAMIDE HYDROCHLORIDE AND SIMETHICONE,AUROBINDO PHARMA LTD | BIONPHARMA INC | GUARDIAN DRUG CO | HETERO LABS LTD UNIT V | KENVUE BRANDS LLC | PERRIGO R AND D CO,1,5,021140,209837 | 211059 | 211438 | 213484 | 214541,TABLET;ORAL,,2000-11-30,2021-09-10,1,5,GI,PERIODIC,0,,,,,No
LOPINAVIR; RITONAVIR,KALETRA | LOPINAVIR AND RITONAVIR,ABBVIE INC | HETERO LABS LTD UNIT III | LAURUS LABS LTD | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | MYLAN LABORATORIES LTD,2,5,021251 | 021906,079074 | 091677 | 204739 | 213857 | 214696,SOLUTION;ORAL | TABLET;ORAL,AB,2000-09-15,2025-12-11,3,10,Infectious,CHRONIC,0,,,,,No
LORATADINE,ALAVERT | CHILDREN'S CLARITIN | CLARITIN | CLARITIN HIVES RELIEF | CLARITIN HIVES RELIEF REDITAB | CLARITIN REDITABS | LORATADINE | LORATADINE REDIDOSE,ANDA REPOSITORY LLC | APOTEX INC | AUROBINDO PHARMA LTD | BAYER HEALTHCARE LLC | BIONPHARMA INC | FOUNDATION CONSUMER BRANDS LLC | GRANULES INDIA LTD | HETERO LABS LTD UNIT III | HETERO LABS LTD UNIT V | INSTAPILL PRIVATE LTD | L PERRIGO CO | LANNETT CO INC | MARKSANS PHARMA LTD | MYLAN PHARMACEUTICALS INC | PERRIGO PHARMA INTERNATIONAL DAC | PERRIGO PHARMA INTERNATIONAL DESIGNATED ACTIVITY CO | PLD ACQUISITIONS LLC | RUBICON RESEARCH LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | TARO PHARMACEUTICAL INDUSTRIES LTD | UNIQUE PHARMACEUTICAL LABORATORIES | WOCKHARDT BIO AG,7,29,019658 | 020641 | 020704 | 021375 | 021891 | 021952 | 021993,075209 | 075728 | 075815 | 076011 | 076134 | 076154 | 076301 | 076471 | 076805 | 077153 | 077421 | 201865 | 202538 | 206214 | 207569 | 208314 | 208477 | 208931 | 210033 | 210088 | 210409 | 210722 | 211718 | 211900 | 212795 | 213294 | 214280 | 214684 | 219223,"CAPSULE;ORAL | SYRUP;ORAL | TABLET, CHEWABLE;ORAL | TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",,2002-11-27,2025-04-25,9,30,Respiratory,PERIODIC,0,,,,,No
LORATADINE; PSEUDOEPHEDRINE SULFATE,CLARITIN-D | CLARITIN-D 24 HOUR | LORATADINE AND PSEUDOEPHEDRINE SULFATE,BAYER HEALTHCARE LLC | BIONPHARMA INC | P AND L DEVELOPMENT LLC | PERRIGO PHARMA INTERNATIONAL DAC | SUN PHARMACEUTICAL INDUSTRIES LTD,2,5,019670 | 020470,075706 | 075989 | 076050 | 076557 | 218017,"TABLET, EXTENDED RELEASE;ORAL",,2002-11-27,2024-05-14,2,5,Respiratory,PERIODIC,0,,,,,No
LORAZEPAM,ATIVAN | LORAZEPAM | LORAZEPAM INTENSOL | LOREEV XR,ALMATICA PHARMA LLC | AMNEAL PHARMACEUTICALS | ANI PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | BAUSCH HEALTH US LLC | FRESENIUS KABI USA LLC | GRAVITI PHARMACEUTICALS PRIVATE LTD | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | INTERNATIONAL MEDICATION SYSTEMS LTD | LEADING PHARMA LLC | OXFORD PHARMACEUTICALS LLC | PHARMACEUTICAL ASSOC INC | RISING PHARMA HOLDINGS INC | SANDOZ INC | SUN PHARMACEUTICAL INDUSTRIES LTD | WATSON LABORATORIES INC,3,17,017794 | 018140 | 214826,071141 | 072755 | 072926 | 072927 | 072928 | 074243 | 075025 | 076045 | 076150 | 077396 | 077754 | 078203 | 090260 | 091383 | 203572 | 217598 | 218597,"CAPSULE, EXTENDED RELEASE;ORAL | CONCENTRATE;ORAL | INJECTABLE;INJECTION | TABLET;ORAL",AA | AB | AP,1987-04-21,2025-07-24,9,32,Psychiatric,PERIODIC,1,2034-01-08,2034,,,No
LORLATINIB,LORBRENA,PFIZER INC,1,0,210868,,TABLET;ORAL,,2018-11-02,2018-11-02,2,0,Oncology,LONG-TERM,4,2038-10-04,2038,ODE-349,2028-03-03,No
LOSARTAN POTASSIUM,ARBLI | COZAAR | LOSARTAN POTASSIUM,AIPING PHARMACEUTICAL INC | ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | GRANULES INDIA LTD | GRAVITI PHARMACEUTICALS PRIVATE LTD | HETERO LABS LTD UNIT V | JUBILANT CADISTA PHARMACEUTICALS INC | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | ORGANON LLC A SUB OF ORGANON AND CO | PRINSTON PHARMACEUTICAL INC | SCIENTURE LLC | STRIDES PHARMA GLOBAL PTE LTD | UNICHEM LABORATORIES LTD | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC,2,17,020386 | 218772,077424 | 078232 | 078243 | 090083 | 090382 | 090428 | 090544 | 091129 | 091497 | 091541 | 201170 | 202230 | 203030 | 203835 | 215959 | 217396 | 219859,SUSPENSION;ORAL | TABLET;ORAL,AB,1995-04-14,2025-09-19,4,51,Cardiovascular,CHRONIC,3,2041-10-07,2041,,,No
LOTEPREDNOL ETABONATE,ALREX | EYSUVIS | INVELTYS | LOTEMAX | LOTEMAX SM | LOTEPREDNOL ETABONATE,ALCON LABORATORIES INC | AMNEAL EU LTD | BAUSCH AND LOMB INC | LUPIN LTD | PADAGIS US LLC | SENTISS AG | SUN PHARMACEUTICAL INDUSTRIES LTD,7,12,020583 | 020803 | 200738 | 202872 | 208219 | 210565 | 210933,207609 | 212080 | 212450 | 215203 | 215204 | 215384 | 215550 | 215719 | 215933 | 216345 | 217484 | 218087,GEL;OPHTHALMIC | OINTMENT;OPHTHALMIC | SUSPENSION/DROPS;OPHTHALMIC,AB,1998-03-09,2025-06-30,7,12,Ophthalmology,SHORT,23,2036-12-23,2036,,,No
LOTEPREDNOL ETABONATE; TOBRAMYCIN,LOTEPREDNOL ETABONATE AND TOBRAMYCIN | ZYLET,ALEMBIC PHARMACEUTICALS LTD | BAUSCH AND LOMB INC,1,1,050804,217597,SUSPENSION/DROPS;OPHTHALMIC,AB,2004-12-14,2025-12-10,1,1,Ophthalmology,SHORT,0,,,CGT,2026-07-14,No
LOTILANER,XDEMVY,TARSUS PHARMACEUTICALS INC,1,0,217603,,SOLUTION/DROPS;OPHTHALMIC,,2023-07-24,2023-07-24,1,0,Other/Unclassified,OTHER,9,2038-12-14,2038,NCE,2028-07-24,Yes
