Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use
Orange Book,Budesonide; Formoterol Fumarate Dihydrate,BREYNA,Asthma,Respiratory – Obstructive,chemical,"NR3C1, ADRB2",1.83,0.16MG//inh; 0.0045MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Orange Book,Budesonide; Formoterol Fumarate Dihydrate,BREYNA,COPD,Respiratory – Obstructive,chemical,"NR3C1, ADRB2",1.83,0.16MG//inh; 0.0045MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Orange Book,Budesonide; Formoterol Fumarate; Glycopyrrolate,BREZTRI AEROSPHERE,Allergic rhinitis,Respiratory – Allergy,chemical,"NR3C1, ADRB2, CHRM3, CHRM1",,0.16MG//inh; 0.0048MG//inh … inh,Twice daily,Indefinite (lifelong maintenance)
Orange Book,Bumetanide,BUMETANIDE,Heart failure,Cardiovascular – Heart Failure,chemical,SLC12A1,0.02,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Buprenorphine,BRIXADI,Opioid use disorder,Pain – Chronic,chemical,"OPRM1, OPRK1",1.06,300MG/1.5ML (200MG/mL) SC,Once daily,Indefinite (lifelong maintenance)
Orange Book,Buprenorphine Hydrochloride,BELBUCA,Opioid use disorder,Pain – Chronic,chemical,"OPRM1, OPRK1",0.08,0.9MG BASE,As needed,Indefinite (lifelong maintenance)
Orange Book,Buprenorphine Hydrochloride; Naloxone Hydrochloride,SUBOXONE,Opioid use disorder,Pain – Chronic,chemical,"OPRM1, OPRK1, OPRK1",2.05,11.4MG BASE; 2.9MG BASE,As needed,Indefinite (lifelong maintenance)
Orange Book,Bupropion Hydrobromide,APLENZIN,Major depressive disorder,Psychiatry – Mood,chemical,"SLC6A3, SLC6A2",0.27,522MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Bupropion Hydrochloride,BUPROPION HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,"SLC6A3, SLC6A2",0.00,300MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Bupropion Hydrochloride; Dextromethorphan Hydrobromide,AUVELITY,Major depressive disorder,Psychiatry – Mood,chemical,"SLC6A3, SLC6A2, SIGMAR1, GRIN2A",0.07,105MG; 45MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Bupropion Hydrochloride; Dextromethorphan Hydrobromide,AUVELITY,Alzheimer's disease / dementia,Psychiatry – Mood,chemical,"SLC6A3, SLC6A2, SIGMAR1, GRIN2A",0.07,105MG; 45MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Bupropion Hydrochloride; Naltrexone Hydrochloride,CONTRAVE,Obesity / weight management,Psychiatry – Other,chemical,"SLC6A3, SLC6A2, OPRK1",0.01,90MG; 8MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Buspirone Hydrochloride,BUCAPSOL,Anxiety disorder,Psychiatry – Anxiety,chemical,HTR1A,0.13,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Cabazitaxel,CABAZITAXEL,Prostate cancer,Oncology – Solid Tumor,chemical,TUBB4B,,60MG/1.5ML (40MG/mL) IV,As directed,Long-term (until progression / disease control)
Orange Book,Cabotegravir,APRETUDE,HIV infection,Infectious – HIV,chemical,pol,0.10,600MG/3ML (200MG/mL),Once daily,Indefinite (lifelong maintenance)
Orange Book,Cabotegravir Sodium,VOCABRIA,HIV infection,Infectious – HIV,chemical,pol,,30MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Cabotegravir; Rilpivirine,CABENUVA KIT,HIV infection,Infectious – HIV,chemical,pol,,600MG/3ML (200MG/mL); 900MG/3ML (300MG/mL),Once daily,Indefinite (lifelong maintenance)
Orange Book,Cabozantinib S-malate,CABOMETYX,Thyroid cancer,Oncology – Solid Tumor,chemical,"KDR, MET",0.21,60MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Calcipotriene,CALCIPOTRIENE,Psoriasis,Autoimmune – Dermatology,chemical,VDR,0.00,0.005% topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Calcitonin Salmon,CALCITONIN-SALMON,Osteoporosis,Bone / Metabolic,protein,CALCR,0.00,200 IU/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcitonin Salmon,CALCITONIN-SALMON,Menopausal / hormone therapy,Bone / Metabolic,protein,CALCR,0.00,200 IU/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcitriol,CALCITRIOL,Mineral / vitamin D disorder,Endocrinology – Metabolic,chemical,VDR,0.02,1MCG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Calcium Acetate,CALCIUM ACETATE,Metabolic disorder,Endocrinology – Metabolic,chemical,Phosphate sequestering agent,0.04,667MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride,TPN ELECTROLYTES IN PLASTIC CONTAINER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,16.5MG/mL; 25.4MG/mL …,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride; Sodium Citrate,BALANCED SALT,Metabolic disorder,Endocrinology – Metabolic,mixture,Supplement,0.01,0.48MG/mL; 0.3MG/mL …,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate,PHOXILLUM B22K 4/0 IN PLASTIC CONTAINER,Hypertension,Endocrinology – Diabetes,mixture,Supplement; Saline laxative,,3.68GM/1000ML; 3.05GM/1000ML …,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate,PHOXILLUM B22K 4/0 IN PLASTIC CONTAINER,Heart failure,Endocrinology – Diabetes,mixture,Supplement; Saline laxative,,3.68GM/1000ML; 3.05GM/1000ML …,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate,PHOXILLUM B22K 4/0 IN PLASTIC CONTAINER,Diabetic nephropathy,Endocrinology – Diabetes,mixture,Supplement; Saline laxative,,3.68GM/1000ML; 3.05GM/1000ML …,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Chloride,PLEGISOL IN PLASTIC CONTAINER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,17.6MG/100ML; 325.3MG/100ML …,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcium Chloride; Potassium Chloride; Sodium Chloride,RINGER'S IN PLASTIC CONTAINER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,33MG/100ML; 30MG/100ML …,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcium Chloride; Potassium Chloride; Sodium Chloride; Sodium Lactate,LACTATED RINGER'S IN PLASTIC CONTAINER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,20MG/100ML; 30MG/100ML …,As directed,Indefinite (lifelong maintenance)
Orange Book,Calcium Gluconate,CALCIUM GLUCONATE,Metabolic disorder,Endocrinology – Metabolic,chemical,Mineral supplement,,2GM/100ML (20MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Canagliflozin,CANAGLIFLOZIN,Type 2 diabetes,Endocrinology – Diabetes,chemical,SLC5A2,0.23,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Canagliflozin,CANAGLIFLOZIN,Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2,0.23,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Canagliflozin,CANAGLIFLOZIN,Myocardial infarction (risk reduction),Endocrinology – Diabetes,chemical,SLC5A2,0.23,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Canagliflozin,CANAGLIFLOZIN,Stroke (risk reduction),Endocrinology – Diabetes,chemical,SLC5A2,0.23,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
