Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use
Orange Book,Navepegritide,YUVIWEL,Achondroplasia,Endocrinology – Growth,protein,,,5.5MG/VIAL SC,Weekly or as directed,Indefinite (lifelong maintenance)
Orange Book,Nebivolol Hydrochloride,BYSTOLIC,Hypertension,Cardiovascular – Hypertension,chemical,"ADRB1, ADRB2",0.01,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nebivolol Hydrochloride; Valsartan,VYDUO,Hypertension,Cardiovascular – Hypertension,chemical,"ADRB1, ADRB2, AGTR1",,5MG BASE; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nefazodone Hydrochloride,NEFAZODONE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,"SLC6A4, HTR2A, HTR2C, SLC6A2",0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nelarabine,ARRANON,Acute lymphoblastic leukemia,Oncology – Hematologic,chemical,DNA inhibitor,0.00,250MG/50ML (5MG/mL) IV,As directed,Long-term (until progression / disease control)
Orange Book,Nelarabine,ARRANON,Lymphoma,Oncology – Hematologic,chemical,DNA inhibitor,0.00,250MG/50ML (5MG/mL) IV,As directed,Long-term (until progression / disease control)
Orange Book,Nelfinavir Mesylate,VIRACEPT,HIV infection,Infectious – HIV,chemical,pol,0.00,625MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Neratinib Maleate,NERLYNX,Breast cancer,Oncology – Solid Tumor,chemical,"ERBB2, EGFR, ERBB4",0.05,40MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Netarsudil Mesylate,RHOPRESSA,Hypertension,Ophthalmology,chemical,ROCK2,0.02,0.02% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Orange Book,Netarsudil Mesylate,RHOPRESSA,Glaucoma / ocular hypertension,Ophthalmology,chemical,ROCK2,0.02,0.02% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Orange Book,Nevirapine,NEVIRAPINE,HIV infection,Psychiatry – Other,chemical,pol,0.00,50MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Niacin,NIACIN,Metabolic disorder,Endocrinology – Lipid,chemical,,0.00,1GM oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Nicardipine Hydrochloride,CARDENE,Hypertension,Cardiovascular – Ischemic,chemical,CACNA1C,0.00,40MG/200ML (0.2MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Nicardipine Hydrochloride,CARDENE,Angina,Cardiovascular – Ischemic,chemical,CACNA1C,0.00,40MG/200ML (0.2MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Nifedipine,NIFEDIPINE,Angina,Cardiovascular – Ischemic,chemical,CACNA1C,0.04,60MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Nilotinib,CAVHANZA,Chronic myeloid leukemia,Oncology – Hematologic,chemical,,,80MG oral,Once daily,Long-term (until progression / disease control)
Orange Book,Nilotinib D-tartrate,NILOTINIB D-TARTRATE,Chronic myeloid leukemia,Oncology – Hematologic,chemical,,,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Nilotinib Hydrochloride,NILOTINIB HYDROCHLORIDE,Chronic myeloid leukemia,Oncology – Hematologic,chemical,"ABL1, ABL1",0.18,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Nilotinib Tartrate,DANZITEN,Chronic myeloid leukemia,Oncology – Hematologic,chemical,,,95MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Nilutamide,NILUTAMIDE,Prostate cancer,Oncology – Solid Tumor,chemical,AR,,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Nimodipine,NIMODIPINE,Hypertension,Cardiovascular – Ischemic,chemical,"NR3C2, CACNA1C",0.00,6MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nimodipine,NIMODIPINE,Angina,Cardiovascular – Ischemic,chemical,"NR3C2, CACNA1C",0.00,6MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Niraparib Tosylate,ZEJULA,Prostate cancer,Oncology – Solid Tumor,chemical,"PARP2, PARP1",0.06,300MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Nirmatrelvir; Ritonavir,PAXLOVID (COPACKAGED),HIV infection,Infectious – HIV,chemical,"pol, CYP3A4",,150MG; 100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nisoldipine,NISOLDIPINE,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C,,34MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Nitisinone,HARLIKU,Metabolic disorder,Endocrinology – Metabolic,chemical,HPD,0.05,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nizatidine,AXID AR,Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,HRH2,0.00,75MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Norethindrone,CAMILA,Contraception,Endocrinology – Reproductive,chemical,PGR,0.01,0.35MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Norethindrone Acetate,NORETHINDRONE ACETATE,Contraception,Endocrinology – Reproductive,chemical,PGR,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Norgestrel,OPILL,Metabolic disorder,Endocrinology – Metabolic,chemical,PGR,,0.075MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nortriptyline Hydrochloride,NORTRIPTYLINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,"SLC6A4, SLC6A2",,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nystatin,KLAYESTA,Dyslipidemia,Endocrinology – Lipid,mixture,Ergosterol sequestering agent,0.07,"100,000 UNITS/mL oral",Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nystatin,KLAYESTA,CV risk reduction,Endocrinology – Lipid,mixture,Ergosterol sequestering agent,0.07,"100,000 UNITS/mL oral",Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nystatin; Triamcinolone Acetonide,NYSTATIN AND TRIAMCINOLONE ACETONIDE,Dyslipidemia,Endocrinology – Lipid,mixture,NR3C1,,"100,000 UNITS/GM; 0.1% topical",Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Nystatin; Triamcinolone Acetonide,NYSTATIN AND TRIAMCINOLONE ACETONIDE,CV risk reduction,Endocrinology – Lipid,mixture,NR3C1,,"100,000 UNITS/GM; 0.1% topical",Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Octreotide Acetate,BYNFEZIA PEN,Acromegaly,Gastroenterology – Other,chemical,SSTR5,0.01,7MG BASE/2.8ML (2.5MG BASE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Orange Book,Olanzapine,OLANZAPINE,Schizophrenia,Psychiatry – Psychotic,chemical,"HTR2A, HTR2C, DRD2",0.10,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Olanzapine Pamoate,ZYPREXA RELPREVV,Schizophrenia,Psychiatry – Psychotic,chemical,"HTR2A, HTR2C, DRD2",,405MG BASE/VIAL,Once daily,Indefinite (lifelong maintenance)
Orange Book,Olanzapine; Samidorphan L-malate,LYBALVI,Schizophrenia,Psychiatry – Psychotic,chemical,"HTR2A, HTR2C, DRD2, OPRK1, OPRD1, OPRM1",0.21,20MG; 10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Olanzapine; Samidorphan L-malate,LYBALVI,Bipolar disorder,Psychiatry – Psychotic,chemical,"HTR2A, HTR2C, DRD2, OPRK1, OPRD1, OPRM1",0.21,20MG; 10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Olaparib,LYNPARZA,Ovarian / Breast / Prostate cancer,Oncology – Solid Tumor,chemical,PARP1,0.23,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Olmesartan Medoxomil,BENICAR,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1,0.02,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Olodaterol Hydrochloride,STRIVERDI RESPIMAT,COPD,Respiratory – Obstructive,chemical,ADRB2,,0.0025MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance)
Orange Book,Olodaterol Hydrochloride; Tiotropium Bromide,STIOLTO RESPIMAT,COPD,Respiratory – Obstructive,chemical,"ADRB2, CHRM3",,0.0025MG BASE//inh; 0.0025MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance)
Orange Book,Olsalazine Sodium,DIPENTUM,Ulcerative colitis,Autoimmune – Gastroenterology,chemical,"ALOX5, PPARG, PTGS2",0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Olutasidenib,REZLIDHIA,Acute myeloid leukemia,Oncology – Hematologic,chemical,IDH1,,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Omega-3-acid Ethyl Esters,LOVAZA,Hypertriglyceridemia,Endocrinology – Lipid,mixture,Unknown,0.00,1GM CONTAINS AT LEAST 900MG OF THE ETHYL ESTERS OF OMEGA-3 F oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Omeprazole,OMEPRAZOLE,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.35,20MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Omeprazole Magnesium,OMEPRAZOLE MAGNESIUM,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.01,20MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Omeprazole; Sodium Bicarbonate,KONVOMEP,Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,ATP4A,0.01,20MG/PACKET; 1.68GM/PACKET oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Omidenepag Isopropyl,OMLONTI,Hypertension,Ophthalmology,chemical,PTGER2,,0.002% ophthalmic,As directed,Indefinite (lifelong maintenance)
Orange Book,Omidenepag Isopropyl,OMLONTI,Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGER2,,0.002% ophthalmic,As directed,Indefinite (lifelong maintenance)
Orange Book,Orlistat,ALLI,Obesity / weight management,Endocrinology – Metabolic,chemical,"LIPF, PNLIP",0.01,120MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Osilodrostat Phosphate,ISTURISA,Cushing's syndrome,Endocrinology – Metabolic,chemical,CYP11B1,0.01,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Osimertinib Mesylate,TAGRISSO,Non-small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR,0.31,80MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Osimertinib Mesylate,TAGRISSO,Small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR,0.31,80MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Oxcarbazepine,OXCARBAZEPINE,Epilepsy / seizures,Psychiatry – Other,chemical,SCN1A,0.09,600MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Oxybutynin,OXYTROL,Overactive bladder,Urology – Bladder,chemical,"CHRM3, CHRM2",0.04,3.9MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Orange Book,Oxybutynin Chloride,OXYBUTYNIN CHLORIDE,Overactive bladder,Urology – Bladder,chemical,"CHRM3, CHRM2",,5MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Oxycodone,XTAMPZA ER,Chronic pain,Pain – Chronic,chemical,OPRM1,0.27,36MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Oxycodone,XTAMPZA ER,Cancer pain,Pain – Chronic,chemical,OPRM1,0.27,36MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,Chronic pain,Pain – Chronic,chemical,OPRM1,0.13,30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,Cancer pain,Pain – Chronic,chemical,OPRM1,0.13,30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Oxymorphone Hydrochloride,OXYMORPHONE HYDROCHLORIDE,Chronic pain,Pain – Chronic,chemical,OPRK1,,5MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Oxymorphone Hydrochloride,OXYMORPHONE HYDROCHLORIDE,Cancer pain,Pain – Chronic,chemical,OPRK1,,5MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Ozanimod Hydrochloride,ZEPOSIA,Multiple sclerosis,Neurology – Demyelinating,chemical,S1PR1,0.08,0.92MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ozanimod Hydrochloride,ZEPOSIA,Ulcerative colitis,Neurology – Demyelinating,chemical,S1PR1,0.08,0.92MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paclitaxel,ABRAXANE,Breast cancer,Oncology – Solid Tumor,chemical,TUBB4B,0.12,100MG/VIAL IV,Once daily,Long-term (until progression / disease control)
Orange Book,Pacritinib Citrate,VONJO,Myelofibrosis,Oncology – Hematologic,chemical,"JAK2, FLT3, ACVR1, IRAK1",0.00,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Palbociclib,IBRANCE,Breast cancer,Oncology – Solid Tumor,chemical,"CCND1, CDK4",0.67,125MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Paliperidone,INVEGA,Schizophrenia,Psychiatry – Psychotic,chemical,"DRD2, HTR2A",4.28,9MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Paliperidone Palmitate,ERZOFRI,Schizophrenia,Psychiatry – Psychotic,chemical,"DRD2, HTR2A",,819MG/2.625ML (312MG/mL),Once daily,Indefinite (lifelong maintenance)
Orange Book,Palopegteriparatide,YORVIPATH,Osteoporosis,Bone / Metabolic,protein,PTH1R,,0.42MG TERIPARATIDE/1.4ML (0.3MG TERIPARATIDE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Orange Book,Pamidronate Disodium,PAMIDRONATE DISODIUM,Metabolic disorder,Endocrinology – Metabolic,chemical,FDPS,,90MG/10ML (9MG/mL),As directed,Indefinite (lifelong maintenance)
Orange Book,Pantoprazole Sodium,PANTOPRAZOLE SODIUM,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.02,40MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Paricalcitol,PARICALCITOL,Mineral / vitamin D disorder,Endocrinology – Metabolic,chemical,VDR,0.07,0.01MG/2ML (0.005MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Paricalcitol,PARICALCITOL,Chronic kidney disease,Endocrinology – Metabolic,chemical,VDR,0.07,0.01MG/2ML (0.005MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Hydrochloride,PAROXETINE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4,0.04,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Hydrochloride,PAROXETINE,Anxiety disorder,Psychiatry – Mood,chemical,SLC6A4,0.04,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Hydrochloride,PAROXETINE,Obsessive-compulsive disorder,Psychiatry – Mood,chemical,SLC6A4,0.04,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Hydrochloride,PAROXETINE,Panic disorder,Psychiatry – Mood,chemical,SLC6A4,0.04,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Hydrochloride,PAROXETINE,PTSD,Psychiatry – Mood,chemical,SLC6A4,0.04,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Mesylate,BRISDELLE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4,,7.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Mesylate,BRISDELLE,Anxiety disorder,Psychiatry – Mood,chemical,SLC6A4,,7.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Mesylate,BRISDELLE,Obsessive-compulsive disorder,Psychiatry – Mood,chemical,SLC6A4,,7.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Mesylate,BRISDELLE,Panic disorder,Psychiatry – Mood,chemical,SLC6A4,,7.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Paroxetine Mesylate,BRISDELLE,PTSD,Psychiatry – Mood,chemical,SLC6A4,,7.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pasireotide Diaspartate,SIGNIFOR,Cushing's syndrome,Endocrinology – Metabolic,chemical,"SSTR5, SSTR2, SSTR1, SSTR3",0.00,0.9MG BASE/mL (0.9MG BASE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Orange Book,Pasireotide Pamoate,SIGNIFOR LAR KIT,Cushing's syndrome,Endocrinology – Metabolic,chemical,"SSTR3, SSTR5, SSTR2, SSTR1",,60MG BASE/VIAL,As directed,Indefinite (lifelong maintenance)
Orange Book,Patiromer Sorbitex Calcium,VELTASSA,Hyperkalemia,Metabolic – Electrolyte,polymer,Potassium chelating agent,0.03,16.8GM BASE/PACKET oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Pemetrexed,PEMETREXED,Non-small cell lung cancer,Oncology – Solid Tumor,chemical,"DHFR, TYMS, GART",0.05,500MG/20ML (25MG/mL) IV,As directed,Long-term (until progression / disease control)
Orange Book,Pemetrexed,PEMETREXED,Small cell lung cancer,Oncology – Solid Tumor,chemical,"DHFR, TYMS, GART",0.05,500MG/20ML (25MG/mL) IV,As directed,Long-term (until progression / disease control)
Orange Book,Pemetrexed Dipotassium,AXTLE,Non-small cell lung cancer,Oncology – Solid Tumor,chemical,"GART, thyA, DHFR",,500MG BASE/VIAL IV,Once daily,Long-term (until progression / disease control)
Orange Book,Pemetrexed Dipotassium,AXTLE,Small cell lung cancer,Oncology – Solid Tumor,chemical,"GART, thyA, DHFR",,500MG BASE/VIAL IV,Once daily,Long-term (until progression / disease control)
Orange Book,Pemetrexed Disodium,ALIMTA,Non-small cell lung cancer,Oncology – Solid Tumor,chemical,"TYMS, DHFR, GART",0.02,500MG BASE/20ML (25MG BASE/mL) IV,As directed,Long-term (until progression / disease control)
Orange Book,Pemetrexed Disodium,ALIMTA,Small cell lung cancer,Oncology – Solid Tumor,chemical,"TYMS, DHFR, GART",0.02,500MG BASE/20ML (25MG BASE/mL) IV,As directed,Long-term (until progression / disease control)
Orange Book,Pemigatinib,PEMAZYRE,Cancer,Oncology – Solid Tumor,chemical,"FGFR2, FGFR3, FGFR1",0.01,13.5MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Penicillamine,CUPRIMINE,Rheumatoid arthritis,Autoimmune – Rheumatology,chemical,Copper chelating agent,,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Penicillamine,CUPRIMINE,Ankylosing spondylitis,Autoimmune – Rheumatology,chemical,Copper chelating agent,,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pentostatin,NIPENT,Anemia,Endocrinology – Lipid,chemical,ADA,0.00,10MG/VIAL,As directed,Indefinite (lifelong maintenance)
Orange Book,Perampanel,FYCOMPA,Epilepsy / seizures,Neurology – Epilepsy,chemical,GRIA4,0.18,12MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Perphenazine,PERPHENAZINE,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2,,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Perphenazine,PERPHENAZINE,Nausea / vomiting,Psychiatry – Psychotic,chemical,DRD2,,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pexidartinib Hydrochloride,TURALIO,Cancer,Oncology – Solid Tumor,chemical,"CSF1R, FLT3, KIT",0.01,125MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Phenobarbital Sodium,SEZABY,Epilepsy / seizures,Neurology – Epilepsy,chemical,,,100MG/VIAL IV,Once daily,Indefinite (lifelong maintenance)
Orange Book,Phenytoin,DILANTIN,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.01,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Phenytoin Sodium,DILANTIN,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.01,50MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Pilocarpine Hydrochloride,ISOPTO CARPINE,Ophthalmic disorder,Ophthalmology,chemical,"CHRM3, CHRM1",,7.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pimecrolimus,ELIDEL,Atopic dermatitis,Autoimmune – Dermatology,chemical,FKBP1A,0.07,1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pindolol,PINDOLOL,Hypertension,Cardiovascular – Hypertension,chemical,"ADRB1, ADRB2",0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pioglitazone Hydrochloride,ACTOS,Type 2 diabetes,Endocrinology – Diabetes,chemical,PPARG,,45MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pioglitazone Hydrochloride,ACTOS,Diabetes mellitus,Endocrinology – Diabetes,chemical,PPARG,,45MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pirfenidone,ESBRIET,Pulmonary fibrosis,Psychiatry – Other,chemical,Unknown,0.00,801MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pirtobrutinib,JAYPIRCA,Lymphoma,Oncology – Hematologic,chemical,BTK,0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Pitavastatin Calcium,LIVALO,Familial hypercholesterolemia,Endocrinology – Lipid,chemical,HMGCR,0.01,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pitavastatin Calcium,LIVALO,Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,chemical,HMGCR,0.01,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pitavastatin Magnesium,ZYPITAMAG,Familial hypercholesterolemia,Endocrinology – Lipid,chemical,HMGCR,0.00,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pitavastatin Magnesium,ZYPITAMAG,Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,chemical,HMGCR,0.00,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pitolisant Hydrochloride,WAKIX,Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,HRH3,0.20,17.8MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Plecanatide,TRULANCE,Irritable bowel syndrome,Gastroenterology – Motility,protein,GUCY2C,0.07,3MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Plecanatide,TRULANCE,Chronic constipation,Gastroenterology – Motility,protein,GUCY2C,0.07,3MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pomalidomide,POMALIDOMIDE,Multiple myeloma,Oncology – Hematologic,chemical,CRBN,0.15,4MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Ponatinib Hydrochloride,ICLUSIG,Acute lymphoblastic leukemia,Oncology – Hematologic,chemical,ABL1,0.10,45MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Ponesimod,PONVORY,Multiple sclerosis,Neurology – Demyelinating,chemical,S1PR1,0.00,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Potassium Chloride,KLOR-CON,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,0.02,10MEQ oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Potassium Chloride; Sodium Chloride,POTASSIUM CHLORIDE 0.149% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,Narcolepsy / EDS,Endocrinology – Metabolic,chemical,Supplement,,300MG/100ML; 900MG/100ML,As directed,Indefinite (lifelong maintenance)
Orange Book,Potassium Citrate,POTASSIUM CITRATE,Metabolic disorder,Endocrinology – Metabolic,chemical,,0.00,15MEQ oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,"Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic",POTASSIUM PHOSPHATES,Metabolic disorder,Endocrinology – Metabolic,chemical,,,1.18GM/250ML (4.72MG/mL); 1.12GM/250ML (4.48MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Pralsetinib,GAVRETO,Non-small cell lung cancer,Oncology – Solid Tumor,chemical,"RET, RET, RET",0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Pralsetinib,GAVRETO,Small cell lung cancer,Oncology – Solid Tumor,chemical,"RET, RET, RET",0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Pralsetinib,GAVRETO,Thyroid cancer,Oncology – Solid Tumor,chemical,"RET, RET, RET",0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Pramipexole Dihydrochloride,PRAMIPEXOLE DIHYDROCHLORIDE,Parkinson's disease,Neurology – Movement Disorder,chemical,DRD2,,0.375MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Prasugrel Hydrochloride,EFFIENT,Angina,Cardiovascular – Ischemic,chemical,P2RY12,0.01,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Prasugrel Hydrochloride,EFFIENT,Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,P2RY12,0.01,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pravastatin Sodium,PRAVASTATIN SODIUM,Dyslipidemia,Endocrinology – Lipid,chemical,HMGCR,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pravastatin Sodium,PRAVASTATIN SODIUM,CV risk reduction,Endocrinology – Lipid,chemical,HMGCR,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Prazosin Hydrochloride,MINIPRESS,Hypertension,Cardiovascular – Hypertension,chemical,ADRA1A,0.07,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Pregabalin,LYRICA,Diabetes mellitus,Neurology – Pain / Headache,chemical,CACNA1H,0.21,330MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Pregabalin,LYRICA,Epilepsy / seizures,Neurology – Pain / Headache,chemical,CACNA1H,0.21,330MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Pregabalin,LYRICA,Neuropathic pain / fibromyalgia,Neurology – Pain / Headache,chemical,CACNA1H,0.21,330MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Primaquine Phosphate,PRIMAQUINE,Metabolic disorder,Endocrinology – Metabolic,chemical,Unknown,0.00,15MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Primidone,MYSOLINE,Epilepsy / seizures,Psychiatry – Other,chemical,"GABRA1, SCN1A",0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
